name,title,barcode,size,brand,image3,category
BTWED1-7338,South Bicolor Lilac,8435476138353,38,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-lilac-boots-alohas-869352.jpg?v=1676506886,shoes
BTWED1-7339,South Bicolor Lilac,8435476138360,39,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-lilac-boots-alohas-869352.jpg?v=1676506886,shoes
BTWED1-7340,South Bicolor Lilac,8435476138377,40,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-lilac-boots-alohas-869352.jpg?v=1676506886,shoes
BTWED1-7341,South Bicolor Lilac,8435476138384,41,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-lilac-boots-alohas-869352.jpg?v=1676506886,shoes
BTWED1-7342,South Bicolor Lilac,8435476138391,42,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-lilac-boots-alohas-869352.jpg?v=1676506886,shoes
BTWED1-7343,South Bicolor Lilac,8435647935644,43,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-lilac-boots-alohas-869352.jpg?v=1676506886,shoes
BTWED1-7344,South Bicolor Lilac,8435647935651,44,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/south-bicolor-lilac-boots-alohas-869352.jpg?v=1676506886,shoes
HEWDA1-1335,Cannes Beige,8435476131101,35,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-beige-sandals-alohas-682995.jpg?v=1676501994,shoes
HEWDA1-1336,Cannes Beige,8435476131118,36,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-beige-sandals-alohas-682995.jpg?v=1676501994,shoes
HEWDA1-1337,Cannes Beige,8435476131125,37,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-beige-sandals-alohas-682995.jpg?v=1676501994,shoes
HEWDA1-1338,Cannes Beige,8435476131132,38,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-beige-sandals-alohas-682995.jpg?v=1676501994,shoes
HEWDA1-1339,Cannes Beige,8435476131149,39,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-beige-sandals-alohas-682995.jpg?v=1676501994,shoes
HEWDA1-1340,Cannes Beige,8435476131156,40,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-beige-sandals-alohas-682995.jpg?v=1676501994,shoes
HEWDA1-1341,Cannes Beige,8435476131163,41,ALOHAS,https://cdn.shopify.com/s/files/1/0762/7039/products/cannes-beige-sandals-alohas-682995.jpg?v=1676501994,shoes
